sneaker_name,sneaker_brand,collaboration,collaboration_name,sneaker_slug,sneaker_color,data.category,discount_tag,box_condition,product_condition,retail_price_eur,lowest_price_eur,instant_ship_lowest_price_eur,gp_lowest_price_eur,gp_instant_ship_lowest_price_eur,release_year,release_month,release_day
Free Run+ 2 Shield,Nike,0,No,free-run-2-shield-472519-012,grey,shoes,over_retail,good_condition,used,116.3355489309,130.0,185.0325469971,177.74,206.8156585693,2021,7,15
Wmns Flyknit Max,Nike,0,No,wmns-flyknit-max-620659-014,blue,shoes,over_retail,good_condition,new_no_defects,225.0,2000.0,1638.0008544922,2842.97,2183.7092285156,2021,7,15
Wmns Flyknit Lunar 3 'Oreo',Nike,0,No,wmns-flyknit-lunar-3-oreo-698182-001,black,shoes,over_retail,no_original_box,new_no_defects,160.0,200.0,195.8696899414,316.53,335.0586547852,2021,7,15
Air Safari 'Black' 2018,Nike,0,No,air-safari-black-ao3295-002,black,shoes,under_retail,good_condition,new_no_defects,140.0,80.0,98.546081543,117.74,123.2581863403,2018,3,14
Wmns Air Max Jewell Premium 'Violet Dust',Nike,0,No,wmns-air-max-jewell-premium-violet-dust-917672-500,purple,shoes,over_retail,good_condition,new_no_defects,110.962607365,190.0,205.0,294.09,315.13,2021,7,15
Wmns Dropset 3 'Lucid Blue Spark Metallic',Nike,0,No,wmns-dropset-3-lucid-blue-spark-metallic-id8636,blue,shoes,over_retail,good_condition,new_no_defects,130.0,186.0,215.5823822021,240.74,280.7403869629,2024,9,1
Zoom Hyperfuse Low,Nike,0,No,zoom-hyperfuse-low-429614-601,red,shoes,over_retail,no_original_box,used,91.3208352721,99.0,112.7296829224,140.54,311.936340332,2011,6,2
Air Berwuda,Nike,0,No,air-berwuda-555305-402,blue,shoes,over_retail,good_condition,new_no_defects,110.0,200.0,282.5022277832,308.12,381.8103942871,2021,7,15
Wmns Dunk Ultra Modern,Nike,0,No,nike-dunk-ultra-modern-women-s-shoe-705153-004,grey,shoes,over_retail,missing_lid,new_no_defects,113.9611724894,300.0,323.876373291,409.35,451.7030944824,2021,7,15
Kobe 9 NSW Lifestyle 'Wolf Grey',Nike,1,Kobe Bryant,kobe-9-nsw-lifestyle-630774-001,white,shoes,over_retail,good_condition,used,135.0,225.0,261.408416748,343.18,440.0535583496,2014,2,1
Wmns Air Prestige 3 'Black Snakeskin',Nike,0,No,wmns-air-prestige-3-black-snakeskin-394656-001,black,shoes,over_retail,no_original_box,new_no_defects,108.9399990355,159.0,159.9572601318,228.31,308.8396606445,2021,7,15
Wmns Free TR 8 'Pure Platinum Racer Blue',Nike,0,No,wmns-free-tr-8-pure-platinum-racer-blue-942888-041,white,shoes,under_retail,good_condition,new_no_defects,100.0,60.0,65.0,93.74,99.74,2021,6,15
Lunar Solstice Mid SP 'Court Blue',Nike,0,No,lunar-solstice-mid-sp-court-blue-598152-470,blue,shoes,over_retail,good_condition,used,180.0,49.0,106.0070419312,54.88,50.2560882568,2013,4,19
Zoom Pulse 'Vast Grey Pink',Nike,0,No,zoom-pulse-vast-grey-ct1629-002,grey,shoes,under_retail,good_condition,new_no_defects,120.0,34.0,37.0,62.54,66.14,2019,12,13
Wmns Air Max 2017 'Phantom',Nike,0,No,wmns-air-max-2017-phantom-849560-005,white,shoes,over_retail,good_condition,new_no_defects,106.5726595056,130.0,175.0436096191,177.74,221.9791412354,2021,6,15
Wmns Air Zoom Strong 'Bright Mango',Nike,0,No,wmns-air-zoom-strong-bright-mango-843975-800,orange,shoes,over_retail,good_condition,new_no_defects,224.8007999974,2000.0,1637.6323242188,2842.97,2212.8647460938,2021,7,15
Air Trainer SC High,Nike,0,No,air-trainer-sc-high-302346-007,grey,shoes,under_retail,badly_damaged,new_no_defects,231.3079846836,2000.0,1648.9516601562,2616.5,2224.482421875,2021,6,15
Toki Low Textile 'Neo Turquoise',Adidas,0,No,toki-low-textile-neo-turquoise-555272-401,blue,shoes,under_retail,good_condition,new_no_defects,65.0,56.0,60.0,88.94,93.74,2021,7,15
Vandal High,Nike,0,No,vandal-high-621187-003,grey,shoes,over_retail,no_original_box,used,82.2097648712,30.0,33.9356422424,57.74,66.0126419067,2021,7,15
