sneaker_name,sneaker_brand,collaboration,collaboration_name,sneaker_slug,sneaker_color,data.category,discount_tag,box_condition,product_condition,retail_price_eur,lowest_price_eur,instant_ship_lowest_price_eur,gp_lowest_price_eur,gp_instant_ship_lowest_price_eur,release_year,release_month,release_day
Air Jordan 4 Retro 'White Thunder',Nike,0,No,air-jordan-4-retro-white-thunder-fq8138-001,black,shoes,over_retail,good_condition,new_no_defects,215.0,222.0,261.0,273.14,373.12,2024,8,24
Wmns Air Zoom Vomero 5 'Metallic Silver Blue Tint',Nike,0,No,wmns-air-zoom-vomero-5-metallic-silver-blue-tint-hf1877-100,silver,shoes,under_retail,good_condition,new_no_defects,160.0,93.0,100.0,147.74,172.94,2024,8,1
THERE Skateboards x Dunk Low SB 'Ultra Humanized',Nike,1,THERE Skateboards,there-skateboards-x-dunk-low-sb-black-gorge-green-hf7743-001,black,shoes,over_retail,good_condition,new_no_defects,135.0,141.0,177.0,211.94,228.74,2024,8,6
A Ma Maniére x Wmns Air Jordan 4 Retro 'While You Were Sleeping',Nike,1,A Ma Maniére,a-ma-maniere-x-wmns-air-jordan-4-retro-fossil-stone-fz4810-200,pink,shoes,under_retail,good_condition,new_no_defects,250.0,207.0,240.0,273.14,343.31,2024,9,20
9060 'Fuchsia Pink',New Balance,0,No,9060-fuchsia-pink-u9060fp,pink,shoes,under_retail,good_condition,new_no_defects,150.0,147.0,161.0,215.01,233.15,2024,8,15
9060 'Pink Overdye' ASOS Exclusive,Adidas,0,No,9060-pink-overdye-asos-exclusive-u9060app,pink,shoes,over_retail,good_condition,new_no_defects,160.0,310.0,338.896697998,326.97,342.5451660156,2024,7,24
Air Jordan 3 Retro 'Cement Grey',Nike,0,No,air-jordan-3-retro-cement-grey-ct8532-106,white,shoes,under_retail,good_condition,new_no_defects,200.0,137.0,148.0,160.17,212.42,2024,8,31
Kobe 9 Elite Low Protro 'Halo',Nike,1,Kobe Bryant,kobe-9-elite-low-protro-halo-fz7334-100,white,shoes,under_retail,good_condition,new_no_defects,210.0,122.0,132.0,175.34,221.14,2024,9,19
Air Jordan 1 Retro High OG 'Midnight Navy',Nike,0,No,air-jordan-1-retro-high-og-midnight-navy-dz5485-401,blue,shoes,under_retail,good_condition,new_no_defects,180.0,110.0,121.0,138.74,151.94,2024,9,14
Air Jordan 6 Retro 'Olympic' 2024,Nike,0,No,air-jordan-6-retro-olympic-2024-ct8529-164,blue,shoes,under_retail,good_condition,new_no_defects,200.0,126.0,244.0,180.14,369.23,2024,8,3
Travis Scott x Air Jordan 1 Retro Low OG SP 'Reverse Olive / Medium Olive',Nike,1,Travis Scott,travis-scott-x-air-jordan-1-low-og-sp-olive-dm7866-200,green,shoes,over_retail,good_condition,new_no_defects,150.0,389.0,435.0,502.11,597.33,2024,9,28
Wmns Air Zoom Vomero 5 'Photon Dust Pink Foam',Nike,0,No,wmns-air-zoom-vomero-5-photon-dust-pink-foam-hf1877-001,silver,shoes,under_retail,good_condition,new_no_defects,160.0,106.0,119.0,157.34,171.74,2024,8,1
Nigel Sylvester x Air Jordan 4 RM SP 'Driveway Grey',Nike,1,Nigel Sylvester,nigel-sylvester-x-air-jordan-4-rm-sp-anthracite-hf4334-004,grey,shoes,under_retail,good_condition,new_no_defects,150.0,105.0,113.0,139.94,153.14,2024,8,8
Air Jordan 12 Retro 'Barons',Nike,0,No,air-jordan-12-retro-barons-ct8013-010,black,shoes,under_retail,good_condition,new_no_defects,200.0,176.0,206.0,264.26,299.25,2024,9,28
Air Jordan 1 Low SE 'Oxidized Green',Nike,0,No,air-jordan-1-low-se-oxidized-green-fq7687-300,green,shoes,under_retail,good_condition,new_no_defects,125.0,57.0,64.0,112.94,129.74,2024,7,20
Air Tech Challenge 2 'Hot Lava' 2024,Nike,0,No,air-tech-challenge-2-hot-lava-reimagined-fz9033-001,white,shoes,under_retail,good_condition,new_no_defects,150.0,130.0,159.0,179.54,197.54,2024,8,30
Air Max 90 SP 'Reverse Duck Camo' 2024,Nike,0,No,air-max-90-sp-reverse-duck-camo-2024-cw6024-600-24,green,shoes,under_retail,good_condition,new_no_defects,140.0,100.0,183.0,141.74,315.13,2024,9,19
Wmns Air Zoom Vomero 5 'Photon Dust Black',Nike,0,No,wmns-air-zoom-vomero-5-photon-dust-black-hq1182-001,grey,shoes,under_retail,good_condition,new_no_defects,160.0,85.0,111.0,132.14,162.14,2024,9,1
Air Jordan 4 Retro SE 'Wet Cement',Nike,0,No,air-jordan-4-retro-se-smoke-grey-fq7928-001,grey,shoes,under_retail,good_condition,new_no_defects,225.0,202.0,218.0,258.74,279.14,2024,7,27
1000 'Real Pink Sandstone',New Balance,0,No,1000-tan-pink-m1000mc,pink,shoes,over_retail,good_condition,new_no_defects,150.0,165.0,216.0,265.55,312.21,2024,9,11
Air Jordan 1 Retro Low OG 'Mocha',Nike,0,No,air-jordan-1-retro-low-og-mocha-cz0790-102,brown,shoes,under_retail,good_condition,new_no_defects,140.0,117.0,162.0,162.14,234.45,2024,9,21
Verdy x Dunk Low SB 'Visty',Nike,1,Verdy,verdy-x-dunk-low-sb-visty-fn6040-400,blue,shoes,over_retail,good_condition,new_no_defects,135.0,315.0,393.0,406.2,594.28,2024,9,20
Foot Locker x Air Force 1 Low '50th Anniversary',Nike,1,Foot Locker,foot-locker-x-air-force-1-low-50th-anniversary-hj9128-100,white,shoes,under_retail,good_condition,new_no_defects,135.0,106.0,113.2161026001,157.34,205.9327545166,2024,9,9
Kobe 8 Protro 'Lakers Home',Nike,1,Kobe Bryant,kobe-8-protro-lakers-home-hf9550-100,white,shoes,under_retail,good_condition,new_no_defects,180.0,164.0,202.0,257.61,310.93,2024,9,6
Air Jordan 5 Retro 'El Grito - Sail',Nike,0,No,air-jordan-5-retro-el-grito-sail-hf8833-100,white,shoes,under_retail,good_condition,new_no_defects,210.0,189.0,270.0,261.67,402.93,2024,9,12
G-Dragon x Air Force 1 '07 'Para-Noise 3.0',Nike,1,G-Dragon,g-dragon-x-air-force-1-07-para-noise-3-0-aq3692-004,black,shoes,under_retail,good_condition,new_no_defects,200.0,164.0,193.0,216.74,238.34,2024,9,14
A Ma Maniére x Wmns Air Jordan 3 Retro 'While You Were Sleeping',Nike,1,A Ma Maniére,a-ma-maniere-x-wmns-air-jordan-3-retro-black-violet-ore-fz4811-001,black,shoes,under_retail,good_condition,new_no_defects,225.0,98.0,106.0,154.94,164.54,2024,8,21
Patta x Air Max 1 'Chlorophyll' 2024,Nike,1,Patta,patta-x-air-max-1-chlorophyll-2024-hf1012-300,green,shoes,over_retail,good_condition,new_no_defects,160.0,226.0,251.0,277.94,307.94,2024,9,13
Kobe 8 Protro 'Lakers Away',Nike,1,Kobe Bryant,kobe-8-protro-lakers-away-hf9550-001,black,shoes,over_retail,good_condition,new_no_defects,180.0,185.0,215.0,273.04,329.15,2024,9,6
Sneaker Freaker x 574 'Tassie Devil',Adidas,1,Sneaker Freaker,sneaker-freaker-x-574-tassie-devil-ml574snf,black,shoes,over_retail,good_condition,new_no_defects,202.2613866213,220.0,253.8337249756,343.31,431.9997253418,2021,7,15
Supreme x Clogposite 'Black',Nike,1,Supreme,supreme-x-clogposite-black-fn0289-001,black,shoes,over_retail,good_condition,new_no_defects,140.0,163.0,226.0,202.34,344.59,2024,9,5
Dunk Low SP Retro 'Ceramic' 2024,Nike,0,No,dunk-low-sp-retro-ceramic-2024-da1469-001-24,orange,shoes,under_retail,good_condition,new_no_defects,120.0,83.0,90.0,135.14,152.54,2024,9,25
Kobe 8 Protro 'College Navy',Nike,1,Kobe Bryant,kobe-8-protro-college-navy-hf9550-400,blue,shoes,under_retail,good_condition,new_no_defects,180.0,143.0,178.0,199.94,220.34,2024,9,6
Air Force 1 Low '07 Premium 'Oil Green Safety Orange',Nike,0,No,air-force-1-low-premium-oil-green-safety-orange-hj9118-386,green,shoes,under_retail,good_condition,new_no_defects,135.0,115.0,179.0,144.74,278.41,2024,9,1
NOCTA x Hot Step 2 'Black',Adidas,1,NOCTA,nocta-x-hot-step-2-black-dz7293-001,black,shoes,under_retail,good_condition,new_no_defects,200.0,195.0,254.0,277.22,349.79,2024,9,28
Dunk Low Pro SB 'Escargot',Nike,0,No,dunk-low-sb-escargot-fq7585-200,green,shoes,under_retail,good_condition,new_no_defects,125.0,61.0,66.0,79.94,85.94,2024,9,12
Wmns Air Zoom Vomero 5 'Racer Blue',Nike,0,No,wmns-air-zoom-vomero-5-racer-blue-hj7328-445,blue,shoes,under_retail,good_condition,new_no_defects,160.0,91.0,204.0,115.94,313.72,2024,7,1
Air Foamposite One 'Royal' 2024,Nike,0,No,air-foamposite-one-royal-2024-fq8181-511,blue,shoes,under_retail,good_condition,new_no_defects,240.0,147.0,159.0,244.99,261.82,2024,9,13
Ja 2 'Induction',Nike,0,No,ja-2-induction-ib4007-900,blue,shoes,over_retail,good_condition,new_no_defects,120.0,128.0,165.9044494629,175.34,262.9543457031,2024,9,26
NOCTA x Hot Step 2 'Eggplant',Adidas,1,NOCTA,nocta-x-hot-step-2-eggplant-dz7293-500,purple,shoes,over_retail,good_condition,new_no_defects,200.0,300.0,347.2865600586,316.54,415.3282165527,2024,8,22
Air Jordan 1 Retro Low OG 'Barons',Nike,0,No,air-jordan-1-retro-low-og-barons-cz0790-110,white,shoes,under_retail,good_condition,new_no_defects,140.0,89.0,113.0,112.21,164.54,2024,7,20
Air Jordan 11 Retro Low 'Diffused Blue',Nike,0,No,air-jordan-11-retro-low-midnight-navy-fv5104-104,blue,shoes,under_retail,good_condition,new_no_defects,190.0,125.0,135.0,168.14,225.15,2024,8,17
Air DT Max '96 'Colorado Home',Nike,0,No,air-dt-max-96-colorado-home-hm9236-001,black,shoes,under_retail,good_condition,new_no_defects,170.0,90.0,139.0,129.74,204.64,2024,9,16
Dunk Low SB 'Trocadéro Gardens',Nike,0,No,dunk-low-sb-trocad-ro-gardens-fv5926-200,pink,shoes,under_retail,good_condition,new_no_defects,125.0,62.0,67.0,105.74,111.74,2024,7,18
Air Zoom Spiridon Cage 2 'Black Anthracite',Nike,0,No,air-zoom-spiridon-cage-2-black-anthracite-hm8497-010,black,shoes,under_retail,good_condition,new_no_defects,170.0,105.0,135.0,154.94,216.93,2024,7,20
Air Jordan 17 Retro Low SP 'UNC' 2024,Nike,0,No,air-jordan-17-retro-low-sp-unc-2024-fj0395-101,white,shoes,over_retail,good_condition,new_no_defects,300.0,366.0,395.0,444.77,493.94,2024,8,28
Vapor Edge DT '96 TD 'Colorado Away',Nike,0,No,vapor-edge-360-dt-colorado-buffaloes-hj3360-100,white,shoes,over_retail,good_condition,new_no_defects,220.0,246.0,266.0,372.64,400.7,2024,8,16
Jordan Spizike Low 'Flax',Nike,0,No,jordan-spizike-low-flax-fq1759-202,brown,shoes,over_retail,good_condition,new_no_defects,160.0,162.0,171.2182769775,244.82,275.6389770508,2024,9,20
Shoe Palace x 9060 'Metallic',Adidas,1,Shoe Palace,shoe-palace-x-9060-metallic-u9060sp,silver,shoes,over_retail,good_condition,new_no_defects,155.0,208.0,229.123550415,294.07,309.2337341309,2024,10,4
Wmns Air Sunder Max 'Black Silver',Nike,0,No,air-sunder-max-black-silver-fz2068-001,black,shoes,under_retail,good_condition,new_no_defects,180.0,125.0,227.0,171.74,343.87,2024,9,19
Wmns Calm Mule SE 'Playful Pink Fur',Nike,0,No,wmns-calm-mule-se-playful-pink-fur-fz3119-600,pink,shoes,over_retail,good_condition,new_no_defects,60.0,100.0,129.115814209,141.74,184.8397521973,2024,10,1
Zoom Kobe 4 Protro 'Gold Medal' 2024,Nike,1,Kobe Bryant,zoom-kobe-4-protro-gold-medal-fq3544-100,gold,shoes,under_retail,good_condition,new_no_defects,190.0,164.0,200.827545166,237.04,325.4928588867,2024,8,6
Air Jordan 3 Retro TD Cleat 'Black Cement',Nike,0,No,air-jordan-3-mid-td-cleat-black-cement-fz8626-001,black,shoes,under_retail,good_condition,new_no_defects,190.0,180.0,205.8051147461,257.78,330.2149658203,2024,7,27
Dunk Low Pro SB 'Burnt Sunrise',Nike,0,No,dunk-low-sb-burnt-sunrise-hf3704-800,brown,shoes,under_retail,good_condition,new_no_defects,115.0,58.0,63.0,98.54,104.54,2024,7,30
Supreme x Air Force 1 Mid 'Box Logo - Triple Black',Nike,1,Supreme,supreme-x-air-force-1-mid-box-logo-triple-black-fz8784-001,black,shoes,over_retail,good_condition,new_no_defects,133.0,145.0,157.0,212.42,227.97,2024,8,29
Dunk Low LTD 'Biker Tattoos',Nike,0,No,dunk-low-biker-tattoos-fz3057-001,red,shoes,under_retail,good_condition,new_no_defects,135.0,77.0,100.2931518555,114.14,140.4902801514,2024,9,2
Air Safari 'OG' 2024,Nike,0,No,air-safari-og-2024-hm3818-001,orange,shoes,under_retail,good_condition,new_no_defects,140.0,51.0,189.0,90.14,297.95,2024,7,19
Dunk Low SE 'Baltic Blue Total Orange',Nike,0,No,dunk-low-se-baltic-blue-total-orange-hq1538-416,blue,shoes,under_retail,good_condition,new_no_defects,125.0,57.0,66.8571853638,90.14,159.5629425049,2024,8,6
Air Max Plus Premium 'Paris',Nike,0,No,air-max-plus-paris-hj4519-200,black,shoes,under_retail,good_condition,new_no_defects,190.0,95.0,124.0,142.94,170.54,2024,8,10
Lunar Roam 'Hyper Crimson',Nike,0,No,lunar-roam-hyper-crimson-hj9145-809,orange,shoes,under_retail,good_condition,new_no_defects,150.0,94.0,103.0,134.54,145.34,2024,7,20
Kobe 9 Elite Protro 'Halo',Nike,1,Kobe Bryant,kobe-9-elite-protro-halo-fz7335-100,white,shoes,under_retail,good_condition,new_no_defects,240.0,140.0,181.0,223.95,281.47,2024,8,23
size? x Air Max DN SP 'Smokey Mauve',Nike,1,size?,air-max-dn-sp-smokey-mauve-size-exclusive-hq0912-200,purple,shoes,over_retail,good_condition,new_no_defects,180.0,268.0,324.4085693359,407.72,423.0342102051,2024,9,14
Wmns Air Max 1 'Light Army',Nike,0,No,wmns-air-max-1-light-army-dz2628-112,white,shoes,under_retail,good_condition,new_no_defects,140.0,103.0,118.9182281494,145.34,216.4307250977,2024,7,20
Wmns V2K Run 'Doll Barely Grape',Nike,0,No,wmns-v2k-run-doll-barely-grape-hf1876-500,purple,shoes,under_retail,good_condition,new_no_defects,120.0,84.0,115.4639511108,122.54,226.0127563477,2024,7,23
Wmns Air Jordan 2/3 'White Gum',Nike,0,No,wmns-air-jordan-2-3-white-gum-fz4122-102,white,shoes,under_retail,good_condition,new_no_defects,160.0,149.0,179.3601531982,224.45,269.8159790039,2024,9,20
Dunk Low 'Strawberry Waffle',Nike,0,No,dunk-low-strawberry-waffle-hj9100-294,tan,shoes,under_retail,good_condition,new_no_defects,125.0,79.0,103.0,116.54,145.34,2024,8,20
Wmns Dunk Low Next Nature 'Light Wild Mango',Nike,0,No,wmns-dunk-low-next-nature-light-wild-mango-dd1873-109,orange,shoes,under_retail,good_condition,new_no_defects,115.0,94.0,108.133430481,134.54,152.9010620117,2024,10,1
Air Jordan 2/3 'White Cement',Nike,0,No,air-jordan-2-3-white-cement-fd0383-101,grey,shoes,under_retail,good_condition,new_no_defects,160.0,94.0,130.0,134.54,177.74,2024,8,1
Wu-Tang x Dunk High Retro Premium 2024,Nike,1,Wu-Tang,wu-tang-x-dunk-high-2024-hj4320-001,yellow,shoes,over_retail,good_condition,new_no_defects,150.0,400.0,648.0,542.9,864.31,2024,9,28
Wmns Dunk Low 'Sail Armory Navy',Nike,0,No,wmns-dunk-low-sail-armory-navy-hv2390-100,blue,shoes,over_retail,good_condition,new_no_defects,115.0,116.0,221.2431793213,169.34,182.0453186035,2024,9,24
Wmns Air Sunder Max 'Fuchsia Flash',Nike,0,No,air-sunder-max-fuchsia-flash-fz2068-600,pink,shoes,under_retail,good_condition,new_no_defects,180.0,110.0,121.0,138.74,151.94,2024,8,6
Clogposite 'Chrome Black',Nike,0,No,clogposite-chrome-fq8257-002,silver,shoes,under_retail,good_condition,new_no_defects,140.0,118.0,138.0,148.34,220.94,2024,8,22
1000 'Sea Salt Heron Blue',New Balance,0,No,1000-white-grey-cream-m1000ca,white,shoes,under_retail,good_condition,new_no_defects,150.0,83.0,107.4097747803,121.34,160.3503570557,2024,8,21
Wmns Free Metcon 6 'Total Orange Volt',Nike,0,No,wmns-free-metcon-6-total-orange-volt-fj7126-800,orange,shoes,under_retail,good_condition,new_no_defects,120.0,89.0,117.4486923218,128.54,182.1878967285,2024,8,19
Wmns Air Jordan 4 RM 'White Silver Glitter',Nike,0,No,wmns-air-jordan-4-rm-white-silver-glitter-hq3441-111,white,shoes,under_retail,good_condition,new_no_defects,150.0,119.0,145.3846740723,164.54,227.6409912109,2024,9,20
Dunk Low 'Viotech White',Nike,0,No,dunk-low-viotech-white-dv0833-107,purple,shoes,under_retail,good_condition,new_no_defects,115.0,54.0,81.0,94.94,118.94,2024,7,19
WNBA x Wmns Air Jordan 3 Retro 'Desert Camo',Nike,1,WNBA,wmns-air-jordan-3-retro-tex-dark-driftwood-hm4301-200,brown,shoes,under_retail,good_condition,new_no_defects,200.0,55.0,85.5713806152,96.14,99.0910491943,2024,7,19
Phantom GX 2 Academy EasyOn MG 'Electric Pack',Nike,0,No,phantom-gx-2-academy-easyon-mg-electric-pack-fn8199-900,white,shoes,under_retail,good_condition,new_no_defects,90.0,68.0,96.5218811035,111.74,171.1956634521,2024,7,24
Killshot 2 'Black Suede Gum',Nike,0,No,killshot-2-black-suede-gum-fq8903-002,black,shoes,over_retail,good_condition,new_no_defects,90.0,158.0,169.2064666748,238.34,287.5742492676,2024,8,8
Wmns AL8 'Phantom Cement Grey',Nike,0,No,wmns-al8-phantom-cement-grey-hj7289-030,cream,shoes,under_retail,good_condition,new_no_defects,100.0,95.0,133.0,145.34,244.99,2024,8,7
PS8 SB 'Black Clear',Nike,0,No,ps8-sb-black-clear-fv8493-001,black,shoes,under_retail,good_condition,new_no_defects,120.0,92.0,120.5781173706,140.54,186.9973754883,2024,8,20
Wmns P-6000 'Dark Pony',Nike,0,No,wmns-p-6000-dark-pony-hj9598-100,red,shoes,under_retail,good_condition,new_no_defects,110.0,97.0,140.0,104.92,232.16,2024,9,1
Wmns Dunk Low SE 'Hydrangeas',Nike,0,No,wmns-dunk-low-hydrangeas-hq3431-515,purple,shoes,over_retail,good_condition,new_no_defects,135.0,137.0,177.1820983887,200.06,276.9849243164,2024,10,1
Wmns Air Jordan 4 RM 'Legend Light Brown',Nike,0,No,wmns-air-jordan-4-rm-legend-light-brown-fq7940-200,cream,shoes,under_retail,good_condition,new_no_defects,150.0,93.0,138.0,141.74,234.73,2024,8,21
1000 'Mallard Green Sea Salt',New Balance,0,No,1000-green-grey-m1000ma,green,shoes,over_retail,good_condition,new_no_defects,150.0,156.0,188.4557342529,260.37,312.6531677246,2024,9,11
9060 'Shadow Grey',New Balance,0,No,9060-shadow-grey-u9060zgb,grey,shoes,over_retail,good_condition,new_no_defects,150.0,287.0,327.1979675293,396.45,503.2781066895,2024,10,11
Dunk Low SE 'Baltic Blue Gum',Nike,0,No,dunk-low-baltic-blue-gum-hq1519-031,blue,shoes,under_retail,good_condition,new_no_defects,125.0,71.0,78.0,91.94,100.34,2024,8,1
Wmns Dunk Low 'Neapolitan',Nike,0,No,dunk-low-neapolitan-hm0987-200,pink,shoes,under_retail,good_condition,new_no_defects,130.0,74.0,92.0,110.54,132.14,2021,7,15
Dunk Low Premium 'Sketch & Exploration',Nike,0,No,dunk-low-premium-denim-turquoise-hj9112-110,blue,shoes,under_retail,good_condition,new_no_defects,125.0,90.0,116.0,129.74,160.94,2024,8,1
Verdy x Air Max Ishod Wair SB 'Visty',Nike,1,Verdy,verdy-x-air-max-ishod-wair-sb-visty-hf4074-400,blue,shoes,over_retail,good_condition,new_no_defects,110.0,135.0,175.0,199.46,216.74,2024,9,20
Wmns Shox R4 'Blue Woman Group',Nike,0,No,wmns-shox-r4-blue-woman-group-hj7303-445,blue,shoes,under_retail,good_condition,new_no_defects,150.0,109.0,120.0,152.54,165.74,2024,8,6
Wmns Air Zoom Vomero 5 'Triple Black',Nike,0,No,wmns-air-zoom-vomero-5-triple-black-fq7079-002,black,shoes,under_retail,good_condition,new_no_defects,160.0,105.0,148.712387085,147.74,226.6476135254,2024,8,8
Wmns 327 'Chrome Blue',Nike,0,No,wmns-327-chrome-blue-ws327po,blue,shoes,over_retail,good_condition,new_no_defects,100.0,110.0,133.1920623779,160.94,194.6024017334,2024,7,24
Air Max DN SE Premium 'Electric Pack',Nike,0,No,air-max-dn-se-premium-safari-olympics-hm0811-900,orange,shoes,under_retail,good_condition,new_no_defects,180.0,125.0,152.0,178.94,277.25,2024,7,24
Wmns AL8 'Guava Ice',Nike,0,No,wmns-al8-guava-ice-hj7371-838,pink,shoes,under_retail,good_condition,new_no_defects,90.0,73.0,98.0460128784,117.74,159.8075561523,2024,7,22
Wmns V2K Run 'Khaki Metallic Silver',Nike,0,No,wmns-v2k-run-khaki-metallic-silver-hj7245-100,cream,shoes,under_retail,good_condition,new_no_defects,120.0,91.0,150.0,138.14,268.84,2024,8,1
Wmns Run Swift 3 'Black',Nike,0,No,wmns-run-swift-3-black-dr2698-003,black,shoes,under_retail,good_condition,new_no_defects,75.0,44.0,52.0,88.94,115.34,2024,8,3
Air Max 90 'Cool Grey',Nike,0,No,air-max-90-cool-grey-hm0625-002,grey,shoes,over_retail,good_condition,new_no_defects,130.0,168.0,189.0233001709,242.23,289.9233093262,2024,9,7
Wmns Metcon 9 Premium 'White Smoke Grey Mango',Nike,0,No,wmns-metcon-9-premium-white-smoke-grey-mango-fq7217-100,white,shoes,over_retail,good_condition,new_no_defects,160.0,192.0,208.8962097168,237.14,292.9702148438,2024,7,23
Wmns Dunk Low Next Nature 'Vintage Green',Nike,0,No,wmns-dunk-low-next-nature-vintage-green-hj7673-002,green,shoes,under_retail,good_condition,new_no_defects,115.0,87.0,97.0,136.94,169.34,2024,10,1
Wmns Dunk Low LX 'Be The One',Nike,0,No,wmns-dunk-low-lx-be-the-one-hm3695-071,gold,shoes,under_retail,good_condition,new_no_defects,135.0,78.0,84.0,127.34,153.74,2024,10,5
Lunar Roam SE 'Metallic Pewter Desert Bronze',Nike,0,No,lunar-roam-se-metallic-pewter-desert-bronze-fz8116-200,grey,shoes,over_retail,good_condition,new_no_defects,165.0,165.0,201.4871673584,259.01,332.2801818848,2024,9,30
PS8 SB 'Electric Pack',Nike,0,No,ps8-sb-safari-olympics-fn0374-001,white,shoes,under_retail,good_condition,new_no_defects,130.0,89.0,110.4347000122,136.94,207.4213409424,2024,7,24
Air Zoom Vomero 5 'Cool Grey',Nike,0,No,air-zoom-vomero-5-cool-grey-fj4151-003,grey,shoes,under_retail,good_condition,new_no_defects,160.0,77.0,110.0,120.74,160.94,2024,7,20
Wmns Air Jordan 4 Retro 'Vivid Sulfur',Nike,0,No,wmns-air-jordan-4-retro-vivid-sulfur-aq9129-101,white,shoes,under_retail,good_condition,new_no_defects,210.0,97.0,106.0,146.54,156.14,2024,4,6
Nigo x Air Force 3 Low SP 'Blue Void' Otsumo Plaza Japan Exclusive,Nike,1,Nigo,nigo-x-air-force-3-low-sp-blue-void-otsumo-plaza-japan-exclusive-hv0489-400,blue,shoes,over_retail,good_condition,new_no_defects,160.0,400.0,1018.2399902344,542.9,1273.904296875,2024,9,28
Foot Locker x 550 '50th Anniversary',Adidas,1,Foot Locker,foot-locker-x-550-50th-anniversary-bb550ff1,white,shoes,over_retail,good_condition,new_no_defects,110.0,116.0,2.6770842075,164.54,223.3488616943,2024,9,9
Wmns Quest 6 'Black White',Nike,0,No,wmns-quest-6-black-white-fd6034-001,black,shoes,over_retail,good_condition,new_no_defects,97.88512888,47.0,51.0,109.34,114.14,2024,8,7
Dunk Low 'Berlin',Nike,0,No,dunk-low-berlin-fz3053-001,black,shoes,under_retail,good_condition,new_no_defects,130.0,80.0,114.0,102.74,158.54,2024,10,5
Jack Harlow x 1906R 'Rose Runner',Nike,1,Jack Harlow,jack-harlow-x-1906r-kentucky-derby-jackharlow1906,pink,shoes,over_retail,good_condition,new_no_defects,180.0,229.0,278.5180358887,360.02,366.4680480957,2024,10,4
Air Max 1 Premium 'Dark Smoke Grey Flash Crimson',Nike,0,No,air-max-1-premium-dark-smoke-grey-flash-crimson-hj9292-070,grey,shoes,under_retail,good_condition,new_no_defects,160.0,129.0,172.0154418945,176.54,253.0439300537,2024,8,19
Air Trainer SC High 'Raiders Helmet',Nike,0,No,air-trainer-sc-high-raiders-helmet-hj9106-100,grey,shoes,under_retail,good_condition,new_no_defects,135.0,120.0,130.0,165.74,177.74,2024,8,20
Air Zoom Hyperace 3 SE 'Electric Pack',Nike,0,No,air-zoom-hyperace-3-se-electric-pack-fv3686-900,orange,shoes,over_retail,good_condition,new_no_defects,135.0,137.0,177.1820983887,146.62,195.7889099121,2024,7,24
Dunk Low SB 'Light Carbon Monarch',Nike,0,No,dunk-low-sb-light-carbon-monarch-hf3063-002,orange,shoes,over_retail,good_condition,new_no_defects,115.0,115.0,167.0088806152,159.74,184.454284668,2024,10,3
Wmns Killshot 2 'White Aster Pink Gum',Nike,0,No,wmns-killshot-2-white-aster-pink-gum-hj7339-133,white,shoes,under_retail,good_condition,new_no_defects,90.0,87.0,134.9618835449,126.14,217.0606536865,2024,7,30
Dunk Low 'Light Orewood Bicoastal',Nike,0,No,dunk-low-light-orewood-bicoastal-hq3483-104,cream,shoes,under_retail,good_condition,new_no_defects,115.0,93.0,100.0,154.94,172.94,2024,9,4
Fresh Foam X 1080v14 'TCS NYC Marathon - White Hi-Pink',Adidas,1,Fresh Foam,fresh-foam-x-1080v14-tcs-nyc-marathon-white-hi-pink-m1080y14,white,shoes,under_retail,good_condition,new_no_defects,180.0,140.0,164.8677825928,235.17,302.7454528809,2024,10,10
Wmns Air Jordan 11 Retro Low 'Legend Pink',Nike,0,No,wmns-air-jordan-11-retro-low-legend-pink-ah7860-160,pink,shoes,under_retail,good_condition,new_no_defects,185.0,121.0,154.0,177.74,243.37,2024,6,22
Air Zoom Vomero 5 'Hot Punch',Nike,0,No,air-zoom-vomero-5-hot-punch-hf5493-600,pink,shoes,under_retail,good_condition,new_no_defects,160.0,89.0,103.0,128.54,145.34,2024,7,20
Dunk Low SE 'Malachite Gum',Nike,0,No,dunk-low-se-malachite-gum-hq1519-030,green,shoes,under_retail,good_condition,new_no_defects,125.0,84.0,170.0,122.54,273.33,2024,8,1
1906A 'Black',New Balance,0,No,1906-black-dark-silver-metallic-m1906af,black,shoes,under_retail,good_condition,new_no_defects,170.0,149.0,207.6190032959,185.54,259.5110778809,2024,10,9
Air Jordan 1 Retro Low '85 OG 'Metallic Black',Nike,0,No,air-jordan-1-retro-low-85-og-metallic-black-fb9933-102,white,shoes,under_retail,good_condition,new_no_defects,160.0,98.0,120.0,139.34,165.74,2024,10,2
Kobe 8 Protro 'Wolf Grey',Nike,1,Kobe Bryant,kobe-8-protro-wolf-grey-hf9550-002,grey,shoes,under_retail,good_condition,new_no_defects,180.0,138.0,184.0,221.14,239.54,2024,9,6
Air Max 95 'Toronto',Nike,0,No,air-max-95-toronto-hj9152-100,white,shoes,under_retail,good_condition,new_no_defects,185.0,171.0,221.0,250.0,310.91,2024,8,31
Air Zoom Maxfly 2 'Electric Pack',Nike,0,No,air-zoom-maxfly-2-electric-pack-fv2322-900,orange,shoes,over_retail,good_condition,new_no_defects,205.0,208.0,258.3145751953,327.75,364.8086242676,2024,7,24
Hesi Low V2 'Black White',New Balance,0,No,hesi-low-v2-black-white-bbhslat2,black,shoes,under_retail,good_condition,new_no_defects,110.0,97.0,116.9585647583,123.14,179.7728118896,2024,8,2
